ano,codigo_municipio,municipio,candidatos,rho_receita_votos,p_receita_votos,rho_receita_votos_dentro_lista,p_receita_votos_dentro_lista,auc_receita_eleicao,auc_votos_eleicao,auc_forca_lista_eleicao,percentil_rho_receita_votos,percentil_rho_receita_votos_dentro_lista,percentil_auc_votos_eleicao
2016,84840,TUNAS,19,0.544098341102314,0.0160271233271557,0.5163977794943223,0.02823124872890646,0.7444444444444445,0.9888888888888889,0.7,0.4869215291750503,0.4225352112676056,0.34004024144869216
2016,84859,SÃO JOÃO DA URTIGA,24,0.3208695652173913,0.1263216392307609,0.6198714780029658,0.0016057546580031715,0.762962962962963,0.9555555555555556,0.6444444444444444,0.19718309859154928,0.6317907444668008,0.030181086519114688
2016,84867,GUABIJU,29,-0.01072882056404497,0.9559500584213869,0.3656552483956379,0.051098702229605886,0.4805555555555556,0.9999999999999999,0.5277777777777778,0.03420523138832998,0.1891348088531187,0.6841046277665996
2016,84875,QUINZE DE NOVEMBRO,33,0.36611481683687586,0.03613104771400365,0.7453936452978691,6.467043610816067e-07,0.6851851851851851,0.9814814814814814,0.6412037037037037,0.22736418511066397,0.9275653923541247,0.16800804828973842
2016,84883,DOUTOR MAURÍCIO CARDOSO,30,0.49705195546198566,0.005200596240606782,0.5794705721391501,0.0007917518761579597,0.7142857142857143,0.9947089947089947,0.7486772486772487,0.4104627766599598,0.5372233400402414,0.5613682092555332
2016,84891,CAPELA DE SANTANA,58,0.49917627581456125,6.644273166066754e-05,0.4232273532829057,0.0010375734910817258,0.7097505668934241,0.9841269841269841,0.6825396825396826,0.41448692152917505,0.2655935613682093,0.21730382293762576
2016,84905,JAQUIRANA,40,0.6110852348461431,2.811189991402363e-05,0.5882024017059598,6.565302463319379e-05,0.8387096774193548,0.9910394265232975,0.600358422939068,0.6257545271629779,0.5593561368209256,0.4044265593561368
2016,84913,VANINI,25,0.5268424188353219,0.006813417424122075,0.5317551963048499,0.006223910731471257,0.7673611111111112,0.96875,0.5277777777777778,0.44064386317907445,0.44466800804828976,0.06841046277665996
2016,84921,BOQUEIRÃO DO LEÃO,33,0.7262541806020067,1.7161573063132661e-06,0.8011705797637972,2.1355493770253758e-08,0.9212962962962963,1.0,0.5486111111111112,0.8772635814889336,0.9778672032193159,0.8430583501006036
2016,84930,FAGUNDES VARELA,16,0.2842415316642121,0.2859971568512711,0.2689757546844336,0.31376559582779573,0.6031746031746033,0.9682539682539681,0.4920634920634921,0.16700201207243462,0.12474849094567404,0.06237424547283702
2016,84948,ÁGUA SANTA,26,0.5150582999788618,0.0070901149806163735,0.48668191254505977,0.011693051076276018,0.7712418300653595,1.0,0.542483660130719,0.4305835010060362,0.36619718309859156,0.8430583501006036
2016,84956,SILVEIRA MARTINS,25,0.4374278337381266,0.028765091071647837,0.40258239329194556,0.04602122427965318,0.704861111111111,0.9236111111111112,0.5208333333333333,0.32796780684104626,0.24346076458752516,0.004024144869215292
2016,84964,IBIRAPUITÃ,34,0.5466085509596709,0.0008236820752778654,0.48439090127705364,0.003696504910734532,0.7288888888888889,0.9644444444444444,0.5777777777777777,0.49899396378269617,0.36217303822937624,0.0482897384305835
2016,84972,IBARAMA,28,0.5594685365702583,0.001965886507082672,0.63802104907694,0.0002594933749841168,0.8801169590643275,1.0,0.5146198830409356,0.5251509054325956,0.6800804828973843,0.8430583501006036
2016,84980,PANTANO GRANDE,48,0.7120099566006317,1.3919762015176471e-08,0.6474306636332212,6.583017043318684e-07,0.7521367521367521,0.9886039886039886,0.5712250712250713,0.8450704225352113,0.704225352112676,0.3319919517102616
2016,84999,IPÊ,22,0.39920948616600793,0.06568871314886401,0.3845152895250488,0.08523967341488531,0.7094017094017093,0.9658119658119658,0.5256410256410257,0.2716297786720322,0.2112676056338028,0.05432595573440644
2016,85006,TRINDADE DO SUL,25,0.7375913813005001,2.5858789874135207e-05,0.7494226327944573,1.6219921040841846e-05,0.8125,1.0,0.5277777777777778,0.89738430583501,0.937625754527163,0.8430583501006036
