ano,fold,modelo,auc
2020,8,Somente dinheiro,0.9814814814814815
2020,8,Votos correntes + lista,0.9907407407407408
2020,8,Votos correntes + lista + dinheiro,0.9876543209876543
2020,8,Viabilidade prévia,0.9058641975308642
2020,8,Viabilidade prévia + dinheiro,0.9814814814814814
2020,9,Somente dinheiro,0.9320987654320988
2020,9,Votos correntes + lista,0.9783950617283951
2020,9,Votos correntes + lista + dinheiro,0.9753086419753086
2020,9,Viabilidade prévia,0.8811728395061729
2020,9,Viabilidade prévia + dinheiro,0.9722222222222222
2020,10,Somente dinheiro,0.8875000000000001
2020,10,Votos correntes + lista,0.995
2020,10,Votos correntes + lista + dinheiro,0.9675
2020,10,Viabilidade prévia,0.87375
2020,10,Viabilidade prévia + dinheiro,0.885
2020,11,Somente dinheiro,0.9753086419753086
2020,11,Votos correntes + lista,0.9938271604938271
2020,11,Votos correntes + lista + dinheiro,0.9907407407407407
2020,11,Viabilidade prévia,0.8734567901234567
2020,11,Viabilidade prévia + dinheiro,0.9722222222222223
2020,12,Somente dinheiro,0.9166666666666666
2020,12,Votos correntes + lista,0.9814814814814816
2020,12,Votos correntes + lista + dinheiro,0.9814814814814815
2020,12,Viabilidade prévia,0.9629629629629629
2020,12,Viabilidade prévia + dinheiro,0.9660493827160493
2020,13,Somente dinheiro,0.941358024691358
2020,13,Votos correntes + lista,1.0
2020,13,Votos correntes + lista + dinheiro,0.9907407407407407
2020,13,Viabilidade prévia,0.7885802469135802
2020,13,Viabilidade prévia + dinheiro,0.9382716049382716
2020,14,Somente dinheiro,0.941358024691358
2020,14,Votos correntes + lista,0.9907407407407407
2020,14,Votos correntes + lista + dinheiro,0.9938271604938271
2020,14,Viabilidade prévia,0.904320987654321
2020,14,Viabilidade prévia + dinheiro,0.9444444444444444
2020,15,Somente dinheiro,0.8725
2020,15,Votos correntes + lista,0.9875
2020,15,Votos correntes + lista + dinheiro,0.985
2020,15,Viabilidade prévia,0.75375
2020,15,Viabilidade prévia + dinheiro,0.8850000000000001
2020,16,Somente dinheiro,0.9506172839506173
2020,16,Votos correntes + lista,0.9938271604938271
2020,16,Votos correntes + lista + dinheiro,0.9907407407407408
2020,16,Viabilidade prévia,0.8395061728395062
2020,16,Viabilidade prévia + dinheiro,0.947530864197531
2020,17,Somente dinheiro,0.8734567901234568
2020,17,Votos correntes + lista,1.0
2020,17,Votos correntes + lista + dinheiro,0.9969135802469137
2020,17,Viabilidade prévia,0.8533950617283951
2020,17,Viabilidade prévia + dinheiro,0.8919753086419754
2020,18,Somente dinheiro,0.9691358024691359
2020,18,Votos correntes + lista,0.9845679012345678
2020,18,Votos correntes + lista + dinheiro,0.9876543209876543
2020,18,Viabilidade prévia,0.8317901234567902
2020,18,Viabilidade prévia + dinheiro,0.9722222222222222
2020,19,Somente dinheiro,0.9475308641975309
2020,19,Votos correntes + lista,0.9876543209876544
2020,19,Votos correntes + lista + dinheiro,0.9907407407407408
2020,19,Viabilidade prévia,0.8379629629629629
2020,19,Viabilidade prévia + dinheiro,0.9537037037037037
2020,20,Somente dinheiro,0.9025000000000001
2020,20,Votos correntes + lista,0.995
2020,20,Votos correntes + lista + dinheiro,0.9774999999999999
2020,20,Viabilidade prévia,0.85125
2020,20,Viabilidade prévia + dinheiro,0.93
2020,21,Somente dinheiro,0.9290123456790124
2020,21,Votos correntes + lista,0.9907407407407408
2020,21,Votos correntes + lista + dinheiro,0.9969135802469136
2020,21,Viabilidade prévia,0.8009259259259259
2020,21,Viabilidade prévia + dinheiro,0.9320987654320988
2020,22,Somente dinheiro,0.9382716049382717
2020,22,Votos correntes + lista,0.984567901234568
2020,22,Votos correntes + lista + dinheiro,0.9753086419753088
2020,22,Viabilidade prévia,0.9598765432098766
2020,22,Viabilidade prévia + dinheiro,0.9413580246913581
2020,23,Somente dinheiro,0.9074074074074074
2020,23,Votos correntes + lista,1.0
2020,23,Votos correntes + lista + dinheiro,0.9907407407407407
2020,23,Viabilidade prévia,0.845679012345679
2020,23,Viabilidade prévia + dinheiro,0.8981481481481481
2020,24,Somente dinheiro,0.9691358024691358
2020,24,Votos correntes + lista,0.9969135802469136
2020,24,Votos correntes + lista + dinheiro,0.9938271604938271
2020,24,Viabilidade prévia,0.7191358024691359
2020,24,Viabilidade prévia + dinheiro,0.9537037037037037
2020,25,Somente dinheiro,0.9175
2020,25,Votos correntes + lista,0.9975
2020,25,Votos correntes + lista + dinheiro,0.9874999999999999
2020,25,Viabilidade prévia,0.8687499999999999
2020,25,Viabilidade prévia + dinheiro,0.95
2020,26,Somente dinheiro,0.9444444444444445
2020,26,Votos correntes + lista,0.9907407407407407
2020,26,Votos correntes + lista + dinheiro,0.9876543209876543
2020,26,Viabilidade prévia,0.7777777777777778
2020,26,Viabilidade prévia + dinheiro,0.9320987654320988
2020,27,Somente dinheiro,0.7592592592592593
2020,27,Votos correntes + lista,0.9845679012345678
2020,27,Votos correntes + lista + dinheiro,0.9537037037037037
2020,27,Viabilidade prévia,0.9104938271604938
2020,27,Viabilidade prévia + dinheiro,0.808641975308642
2020,28,Somente dinheiro,0.95679012345679
2020,28,Votos correntes + lista,0.9845679012345679
2020,28,Votos correntes + lista + dinheiro,0.9845679012345678
2020,28,Viabilidade prévia,0.8225308641975309
2020,28,Viabilidade prévia + dinheiro,0.947530864197531
2020,29,Somente dinheiro,0.9691358024691358
2020,29,Votos correntes + lista,1.0
2020,29,Votos correntes + lista + dinheiro,1.0
2020,29,Viabilidade prévia,0.8858024691358025
2020,29,Viabilidade prévia + dinheiro,0.9845679012345679
2020,30,Somente dinheiro,0.9550000000000001
2020,30,Votos correntes + lista,0.9775
2020,30,Votos correntes + lista + dinheiro,0.985
2020,30,Viabilidade prévia,0.8175000000000001
2020,30,Viabilidade prévia + dinheiro,0.9425
2020,31,Somente dinheiro,0.9074074074074073
2020,31,Votos correntes + lista,0.9969135802469137
2020,31,Votos correntes + lista + dinheiro,0.9938271604938271
2020,31,Viabilidade prévia,0.7685185185185186
2020,31,Viabilidade prévia + dinheiro,0.9506172839506173
2020,32,Somente dinheiro,0.9074074074074074
2020,32,Votos correntes + lista,0.9907407407407408
