ano,codigo_municipio,lista_id,votos_nominais_validos_lista,votos_legenda_validos_lista,votos_validos_lista,partidos_na_lista,votos_validos_municipio,fracao_votos_lista
2024,87190,PARTIDO:MDB,670,26,696,1,2819,0.24689606243348705
2024,87190,PARTIDO:PP,1075,26,1101,1,2819,0.39056402979780064
2024,87190,PARTIDO:REPUBLICANOS,610,7,617,1,2819,0.21887194040439872
2024,87203,PARTIDO:MDB,445,3,448,1,1914,0.23406478578892373
2024,87203,PARTIDO:PDT,406,13,419,1,1914,0.21891327063740856
2024,87203,PARTIDO:PL,228,3,231,1,1914,0.1206896551724138
2024,87203,PARTIDO:PP,372,5,377,1,1914,0.19696969696969696
2024,87203,PARTIDO:PRD,429,10,439,1,1914,0.22936259143155696
2024,87211,FEDERACAO:100,1051,25,1076,2,14310,0.07519217330538085
2024,87211,FEDERACAO:101,3039,94,3133,3,14310,0.21893780573025856
2024,87211,PARTIDO:MDB,3340,174,3514,1,14310,0.24556254367575123
2024,87211,PARTIDO:PDT,1283,206,1489,1,14310,0.10405310971348707
2024,87211,PARTIDO:PL,1248,22,1270,1,14310,0.08874912648497554
2024,87211,PARTIDO:PP,2353,42,2395,1,14310,0.16736547868623342
2024,87211,PARTIDO:PSB,1426,7,1433,1,14310,0.10013976240391334
2024,87220,FEDERACAO:100,277,2,279,2,2148,0.12988826815642457
2024,87220,PARTIDO:MDB,663,16,679,1,2148,0.3161080074487896
2024,87220,PARTIDO:PDT,212,5,217,1,2148,0.10102420856610801
2024,87220,PARTIDO:PP,724,18,742,1,2148,0.34543761638733705
2024,87220,PARTIDO:REPUBLICANOS,229,2,231,1,2148,0.10754189944134078
2024,87238,PARTIDO:MDB,2584,86,2670,1,7011,0.3808301240907146
2024,87238,PARTIDO:PDT,1091,109,1200,1,7011,0.17115960633290545
2024,87238,PARTIDO:PL,1830,67,1897,1,7011,0.270574811011268
2024,87238,PARTIDO:PP,1222,22,1244,1,7011,0.17743545856511198
2024,87246,FEDERACAO:100,341,14,355,2,15159,0.023418431294940298
2024,87246,FEDERACAO:101,4347,250,4597,3,15159,0.30325219341645226
2024,87246,PARTIDO:MDB,3377,34,3411,1,15159,0.22501484266772215
2024,87246,PARTIDO:PDT,1645,30,1675,1,15159,0.11049541526485916
2024,87246,PARTIDO:PL,457,19,476,1,15159,0.03140048815884953
2024,87246,PARTIDO:PODE,897,10,907,1,15159,0.05983244277327
2024,87246,PARTIDO:PP,732,61,793,1,15159,0.05231215779404974
2024,87246,PARTIDO:PSD,1208,11,1219,1,15159,0.0804142753479781
2024,87246,PARTIDO:REPUBLICANOS,779,9,788,1,15159,0.05198232073355762
2024,87246,PARTIDO:UNIÃO,922,16,938,1,15159,0.06187743254832113
2024,87254,FEDERACAO:100,2279,129,2408,2,12034,0.20009971746717634
2024,87254,FEDERACAO:101,1372,59,1431,3,12034,0.11891307960777796
2024,87254,PARTIDO:MDB,1767,37,1804,1,12034,0.14990859232175502
2024,87254,PARTIDO:PL,919,11,930,1,12034,0.07728103706165863
2024,87254,PARTIDO:PODE,581,8,589,1,12034,0.048944656805717135
2024,87254,PARTIDO:PP,1463,17,1480,1,12034,0.12298487618414493
2024,87254,PARTIDO:PSB,3281,111,3392,1,12034,0.28186804055177
2024,87262,FEDERACAO:100,28,2,30,2,3498,0.008576329331046312
2024,87262,FEDERACAO:101,469,23,492,3,3498,0.14065180102915953
2024,87262,PARTIDO:PDT,463,9,472,1,3498,0.1349342481417953
2024,87262,PARTIDO:PP,857,32,889,1,3498,0.25414522584333904
2024,87262,PARTIDO:REPUBLICANOS,912,12,924,1,3498,0.2641509433962264
2024,87262,PARTIDO:UNIÃO,663,28,691,1,3498,0.1975414522584334
2024,87270,FEDERACAO:100,424,12,436,2,14961,0.02914243700287414
2024,87270,FEDERACAO:101,1207,90,1297,3,14961,0.08669206603836642
2024,87270,PARTIDO:MDB,488,18,506,1,14961,0.03382126863177595
2024,87270,PARTIDO:PDT,2451,135,2586,1,14961,0.1728494084620012
2024,87270,PARTIDO:PL,3195,47,3242,1,14961,0.21669674486999532
2024,87270,PARTIDO:PODE,1921,28,1949,1,14961,0.13027204063899472
2024,87270,PARTIDO:PP,4088,248,4336,1,14961,0.2898201991845465
2024,87270,PARTIDO:PSB,266,7,273,1,14961,0.018247443352717066
2024,87270,PARTIDO:REPUBLICANOS,0,0,0,1,14961,0.0
2024,87270,PARTIDO:UNIÃO,330,6,336,1,14961,0.022458391818728694
2024,87289,FEDERACAO:101,937,28,965,3,2856,0.33788515406162467
2024,87289,PARTIDO:MDB,786,15,801,1,2856,0.2804621848739496
2024,87289,PARTIDO:PP,959,16,975,1,2856,0.34138655462184875
2024,87289,PARTIDO:UNIÃO,115,0,115,1,2856,0.040266106442577033
2024,87297,FEDERACAO:100,4676,57,4733,2,40628,0.1164960126021463
2024,87297,FEDERACAO:101,3552,239,3791,3,40628,0.09331003248990843
2024,87297,PARTIDO:MDB,10481,437,10918,1,40628,0.26873092448557645
2024,87297,PARTIDO:PL,7015,137,7152,1,40628,0.17603623117062125
2024,87297,PARTIDO:PODE,0,0,0,1,40628,0.0
2024,87297,PARTIDO:PP,12362,442,12804,1,40628,0.31515211184404845
2024,87297,PARTIDO:PRD,50,9,59,1,40628,0.0014522004528896328
2024,87297,PARTIDO:PSD,1153,18,1171,1,40628,0.02882248695480949
2024,87300,PARTIDO:MDB,450,12,462,1,1777,0.25998874507597075
2024,87300,PARTIDO:PP,685,19,704,1,1777,0.39617332583005066
2024,87300,PARTIDO:PSB,603,8,611,1,1777,0.3438379290939786
2024,87319,FEDERACAO:101,488,10,498,3,4487,0.11098729663472254
2024,87319,PARTIDO:MDB,735,14,749,1,4487,0.1669266770670827
2024,87319,PARTIDO:PDT,984,79,1063,1,4487,0.23690661912190775
2024,87319,PARTIDO:PP,1505,62,1567,1,4487,0.34923111210162694
2024,87319,PARTIDO:PSB,263,7,270,1,4487,0.06017383552484957
2024,87319,PARTIDO:UNIÃO,337,3,340,1,4487,0.07577445954981056
2024,87327,PARTIDO:MDB,521,27,548,1,2956,0.18538565629228687
2024,87327,PARTIDO:PDT,320,9,329,1,2956,0.11129905277401894
2024,87327,PARTIDO:PL,492,22,514,1,2956,0.17388362652232747
2024,87327,PARTIDO:PP,989,6,995,1,2956,0.3366035182679296
2024,87327,PARTIDO:REPUBLICANOS,568,2,570,1,2956,0.19282814614343707
2024,87335,FEDERACAO:101,629,21,650,3,3939,0.16501650165016502
2024,87335,PARTIDO:MDB,803,32,835,1,3939,0.21198273673521198
2024,87335,PARTIDO:PDT,872,23,895,1,3939,0.2272150291952272
2024,87335,PARTIDO:PP,1235,56,1291,1,3939,0.32774815943132773
2024,87335,PARTIDO:PSB,268,0,268,1,3939,0.06803757298806803
2024,87343,FEDERACAO:101,709,48,757,3,4105,0.18440925700365407
2024,87343,PARTIDO:MDB,134,0,134,1,4105,0.03264311814859927
2024,87343,PARTIDO:PDT,812,13,825,1,4105,0.20097442143727162
2024,87343,PARTIDO:PL,0,0,0,1,4105,0.0
2024,87343,PARTIDO:PP,1217,30,1247,1,4105,0.30377588306942754
2024,87343,PARTIDO:PSB,507,5,512,1,4105,0.12472594397076736
2024,87343,PARTIDO:REPUBLICANOS,469,5,474,1,4105,0.11546894031668696
2024,87343,PARTIDO:UNIÃO,152,4,156,1,4105,0.03800243605359318
2024,87351,FEDERACAO:101,203,8,211,3,4324,0.04879740980573543
2024,87351,PARTIDO:MDB,1528,27,1555,1,4324,0.35962072155411656
2024,87351,PARTIDO:PL,1075,33,1108,1,4324,0.25624421831637373
2024,87351,PARTIDO:PP,1389,61,1450,1,4324,0.3353376503237743
2024,87360,PARTIDO:PDT,268,18,286,1,3696,0.07738095238095238
