ano,codigo_municipio,SG_PARTIDO,lista_id,municipio_partido,votos_legenda_validos,votos_nominais_convertidos_legenda,total_votos_legenda_validos,votos_nominais_validos_partido,votos_validos_partido,partido_normalizado,fracao_votos_partido
2020,87718,PSL,PARTIDO:PSL,NOVO HAMBURGO,88,0,88,3316,3404,PSL,0.030688784709700684
2020,87718,PSOL,PARTIDO:PSOL,NOVO HAMBURGO,130,0,130,2673,2803,PSOL,0.025270465200144247
2020,87718,PT,PARTIDO:PT,NOVO HAMBURGO,1450,0,1450,8669,10119,PT,0.09122791200865489
2020,87718,PTB,PARTIDO:PTB,NOVO HAMBURGO,274,0,274,14040,14314,PTB,0.12904796249549225
2020,87718,REPUBLICANOS,PARTIDO:REPUBLICANOS,NOVO HAMBURGO,1173,0,1173,7583,8756,REPUBLICANOS,0.07893977641543455
2020,87726,MDB,PARTIDO:MDB,SÃO JOSÉ DOS AUSENTES,16,0,16,713,729,MDB,0.2987704918032787
2020,87726,PP,PARTIDO:PP,SÃO JOSÉ DOS AUSENTES,10,0,10,356,366,PP,0.15
2020,87726,PSB,PARTIDO:PSB,SÃO JOSÉ DOS AUSENTES,56,0,56,708,764,PSB,0.31311475409836065
2020,87726,PSDB,PARTIDO:PSDB,SÃO JOSÉ DOS AUSENTES,3,0,3,234,237,PSDB,0.0971311475409836
2020,87726,PT,PARTIDO:PT,SÃO JOSÉ DOS AUSENTES,4,0,4,340,344,PT,0.14098360655737704
2020,87734,MDB,PARTIDO:MDB,OSÓRIO,530,0,530,8018,8548,MDB,0.35358841778697003
2020,87734,PDT,PARTIDO:PDT,OSÓRIO,233,0,233,8099,8332,PDT,0.3446535677352637
2020,87734,PP,PARTIDO:PP,OSÓRIO,339,0,339,2729,3068,PP,0.1269079627714581
2020,87734,PSB,PARTIDO:PSB,OSÓRIO,20,0,20,87,107,PSB,0.0044260599793174765
2020,87734,PSC,PARTIDO:PSC,OSÓRIO,8,0,8,343,351,PSC,0.014519131334022752
2020,87734,PSDB,PARTIDO:PSDB,OSÓRIO,40,0,40,1398,1438,PSDB,0.05948293691830403
2020,87734,PSL,PARTIDO:PSL,OSÓRIO,6,0,6,98,104,PSL,0.0043019648397104445
2020,87734,PSOL,PARTIDO:PSOL,OSÓRIO,5,0,5,248,253,PSOL,0.01046535677352637
2020,87734,PT,PARTIDO:PT,OSÓRIO,61,0,61,1640,1701,PT,0.07036194415718718
2020,87734,REPUBLICANOS,PARTIDO:REPUBLICANOS,OSÓRIO,23,0,23,250,273,REPUBLICANOS,0.011292657704239917
2020,87742,MDB,PARTIDO:MDB,SÃO JOSÉ DO INHACORÁ,41,0,41,726,767,MDB,0.3763493621197252
2020,87742,PDT,PARTIDO:PDT,SÃO JOSÉ DO INHACORÁ,28,0,28,620,648,PDT,0.3179587831207066
2020,87742,PP,PARTIDO:PP,SÃO JOSÉ DO INHACORÁ,12,0,12,185,197,PP,0.09666339548577037
2020,87742,PTB,PARTIDO:PTB,SÃO JOSÉ DO INHACORÁ,7,0,7,419,426,PTB,0.20902845927379785
2020,87750,MDB,PARTIDO:MDB,PAIM FILHO,70,0,70,1084,1154,MDB,0.3342021430640023
2020,87750,PP,PARTIDO:PP,PAIM FILHO,32,0,32,658,690,PP,0.1998262380538662
2020,87750,PT,PARTIDO:PT,PAIM FILHO,83,0,83,1526,1609,PT,0.46597161888213146
2020,87769,PDT,PARTIDO:PDT,SÃO JOSÉ DAS MISSÕES,34,0,34,281,315,PDT,0.15656063618290258
2020,87769,PL,PARTIDO:PL,SÃO JOSÉ DAS MISSÕES,58,0,58,921,979,PL,0.4865805168986084
2020,87769,PP,PARTIDO:PP,SÃO JOSÉ DAS MISSÕES,11,0,11,506,517,PP,0.25695825049701787
2020,87769,PT,PARTIDO:PT,SÃO JOSÉ DAS MISSÕES,1,0,1,200,201,PT,0.09990059642147117
2020,87777,DEM,PARTIDO:DEM,PALMEIRA DAS MISSÕES,6,0,6,965,971,DEM,0.054167131540778755
2020,87777,PDT,PARTIDO:PDT,PALMEIRA DAS MISSÕES,112,0,112,3145,3257,PDT,0.18169139796942987
2020,87777,PL,PARTIDO:PL,PALMEIRA DAS MISSÕES,103,0,103,317,420,PL,0.023429655249358472
2020,87777,PP,PARTIDO:PP,PALMEIRA DAS MISSÕES,244,0,244,3632,3876,PP,0.2162222470155082
2020,87777,PSB,PARTIDO:PSB,PALMEIRA DAS MISSÕES,1,0,1,73,74,PSB,0.00412808211536316
2020,87777,PSD,PARTIDO:PSD,PALMEIRA DAS MISSÕES,22,0,22,1005,1027,PSD,0.057291085574026554
2020,87777,PSDB,PARTIDO:PSDB,PALMEIRA DAS MISSÕES,30,0,30,953,983,PSDB,0.054836550262189
2020,87777,PSL,PARTIDO:PSL,PALMEIRA DAS MISSÕES,21,0,21,1387,1408,PSL,0.07854512997880174
2020,87777,PT,PARTIDO:PT,PALMEIRA DAS MISSÕES,382,0,382,5528,5910,PT,0.3296887202945442
2020,87785,DEM,PARTIDO:DEM,SÃO MARTINHO DA SERRA,57,0,57,901,958,DEM,0.3601503759398496
2020,87785,PP,PARTIDO:PP,SÃO MARTINHO DA SERRA,54,0,54,926,980,PP,0.3684210526315789
2020,87785,PSB,PARTIDO:PSB,SÃO MARTINHO DA SERRA,10,0,10,174,184,PSB,0.06917293233082707
2020,87785,PSDB,PARTIDO:PSDB,SÃO MARTINHO DA SERRA,10,0,10,268,278,PSDB,0.10451127819548872
2020,87785,PT,PARTIDO:PT,SÃO MARTINHO DA SERRA,8,0,8,252,260,PT,0.09774436090225563
2020,87793,MDB,PARTIDO:MDB,PALMITINHO,31,0,31,1015,1046,MDB,0.20425698105838702
2020,87793,PDT,PARTIDO:PDT,PALMITINHO,80,0,80,1276,1356,PDT,0.26479203280609254
2020,87793,PP,PARTIDO:PP,PALMITINHO,67,0,67,967,1034,PP,0.2019136887326694
2020,87793,PSB,PARTIDO:PSB,PALMITINHO,27,0,27,308,335,PSB,0.06541691075961727
2020,87793,PT,PARTIDO:PT,PALMITINHO,15,0,15,752,767,PT,0.14977543448545205
2020,87793,PTB,PARTIDO:PTB,PALMITINHO,11,0,11,572,583,PTB,0.11384495215778169
2020,87807,MDB,PARTIDO:MDB,SÃO PEDRO DA SERRA,48,0,48,1463,1511,MDB,0.5569480280132695
2020,87807,PSDB,PARTIDO:PSDB,SÃO PEDRO DA SERRA,7,0,7,262,269,PSDB,0.09915223000368596
2020,87807,PT,PARTIDO:PT,SÃO PEDRO DA SERRA,22,0,22,175,197,PT,0.07261334316255068
2020,87807,PTB,PARTIDO:PTB,SÃO PEDRO DA SERRA,10,0,10,726,736,PTB,0.27128639882049393
2020,87815,DEM,PARTIDO:DEM,PANAMBI,29,0,29,2014,2043,DEM,0.0877388876959416
2020,87815,MDB,PARTIDO:MDB,PANAMBI,323,0,323,4815,5138,MDB,0.22065707537041013
2020,87815,PDT,PARTIDO:PDT,PANAMBI,75,0,75,2524,2599,PDT,0.11161692076444063
2020,87815,PL,PARTIDO:PL,PANAMBI,21,0,21,1207,1228,PL,0.05273781404337556
2020,87815,PP,PARTIDO:PP,PANAMBI,243,0,243,3704,3947,PP,0.16950826712475842
2020,87815,PSB,PARTIDO:PSB,PANAMBI,23,0,23,1415,1438,PSB,0.06175649559802448
