ano,ideologia,fonte,candidatos,eleitos,taxa_eleicao,recebedores,taxa_acesso,valor_total_nominal,valor_eleitos_nominal,participacao_fonte_para_eleitos,participacao_na_receita_bloco,media_por_candidato,mediana_entre_recebedores
2024,Direita,FEFC,13024,2378,0.18258599508599507,8966,0.6884213759213759,56102818.55,14468599.02,0.2578943339024096,0.6553279133206418,4307.6488444410315,3000.0
2024,Direita,Transferências políticas,13024,2378,0.18258599508599507,2725,0.2092291154791155,3034688.29,532776.68,0.1755622420120124,0.03544770113273189,233.00739327395578,610.0
2024,Direita,Financiamento coletivo,13024,2378,0.18258599508599507,78,0.005988943488943489,294540.39,131383.06,0.4460612685411328,0.003440478467143752,22.615201934889434,1299.87
2024,Direita,Empresas,13024,2378,0.18258599508599507,0,0.0,0.0,0.0,,0.0,0.0,
2024,Direita,Outros,13024,2378,0.18258599508599507,30,0.0023034398034398034,29676.97,2133.88,0.07190356697466083,0.0003466518675250994,2.2786371314496314,425.5
2024,Esquerda,Pessoas físicas,6730,1088,0.16166419019316494,2910,0.4323922734026746,9322313.77,3578472.7800000003,0.3838610100762571,0.2114192883846817,1385.187781575037,1000.0
2024,Esquerda,Recursos próprios,6730,1088,0.16166419019316494,3584,0.5325408618127786,5394485.92,1805197.31,0.33463750518047514,0.12234069808697126,801.5580861812779,1000.0
2024,Esquerda,Fundo Partidário,6730,1088,0.16166419019316494,272,0.040416047548291235,895630.18,126518.0,0.14126143002461128,0.02031185604595289,133.08026448737,330.0
2024,Esquerda,FEFC,6730,1088,0.16166419019316494,5042,0.7491827637444279,27133392.869999997,6219500.82,0.22921942898179107,0.6153539511293874,4031.7077072808315,1738.5
2024,Esquerda,Transferências políticas,6730,1088,0.16166419019316494,1254,0.1863298662704309,1136751.44,182231.08000000002,0.1603086423185002,0.02578020719367636,168.90808915304606,476.93
2024,Esquerda,Financiamento coletivo,6730,1088,0.16166419019316494,74,0.01099554234769688,197169.2,91754.55,0.4653594476216366,0.004471569288895217,29.297057949479942,1425.0
2024,Esquerda,Empresas,6730,1088,0.16166419019316494,0,0.0,0.0,0.0,,0.0,0.0,
2024,Esquerda,Outros,6730,1088,0.16166419019316494,35,0.005200594353640416,14217.21,20.090000000000003,0.001413076123937116,0.00032242987043500684,2.1125126300148587,200.0
