codigo_municipio,municipio,candidatos_2016,candidatos_2020,candidatos_2024,fracao_publica_2016,fracao_publica_2020,fracao_publica_2024,gini_receita_2016,gini_receita_2020,gini_receita_2024,auc_receita_eleicao_2016,auc_receita_eleicao_2020,auc_receita_eleicao_2024,entropia_normalizada_2016,entropia_normalizada_2020,entropia_normalizada_2024,variacao_fracao_publica_2024_menos_2016,variacao_gini_receita_2024_menos_2016,variacao_auc_receita_eleicao_2024_menos_2016,variacao_entropia_normalizada_2024_menos_2016
84859,SÃO JOÃO DA URTIGA,24.0,30.0,36.0,0.007158261170260068,0.12409258570107541,0.6634160756501182,0.21204675014483976,0.23064653344366404,0.15632194564192914,0.762962962962963,0.5767195767195767,0.6275720164609053,0.9711427999220362,0.9695898945938771,0.9867283651567664,0.6562578144798581,-0.05572480450291062,-0.13539094650205763,0.015585565234730203
84867,GUABIJU,29.0,16.0,18.0,0.0007720413958302559,0.0,0.6986744852939026,0.26871708319424004,0.07985586012637813,0.16819772628964214,0.4805555555555556,0.6587301587301587,0.3580246913580247,0.964377781968442,0.9953664257263992,0.9830064943491801,0.6979024438980724,-0.1005193569045979,-0.1225308641975309,0.018628712380738044
84875,QUINZE DE NOVEMBRO,33.0,33.0,32.0,0.0,0.1663687827519711,0.7499869287992409,0.20354390301592273,0.2265294976528105,0.2984347183520515,0.6851851851851851,0.3472222222222222,0.8019323671497586,0.9795605316732253,0.9771091896950829,0.9493983728161308,0.7499869287992409,0.09489081533612875,0.11674718196457345,-0.0301621588570945
84883,DOUTOR MAURÍCIO CARDOSO,30.0,20.0,24.0,0.049854418865111515,0.2692422838346299,0.38006996841448937,0.1512601057503622,0.2502147933881176,0.3773499367223161,0.7142857142857143,0.3484848484848485,0.7592592592592593,0.9886890253769414,0.9609533511961892,0.9243643186836601,0.3302155495493779,0.2260898309719539,0.044973544973545,-0.06432470669328127
84891,CAPELA DE SANTANA,58.0,46.0,55.0,0.035074456255812715,0.37675310607959,0.7179934417842655,0.30227240114158493,0.4728059221728973,0.5282097380637898,0.7097505668934241,0.6036036036036035,0.7765700483091786,0.9637081068028471,0.9011051220176506,0.8758263843168871,0.6829189855284528,0.22593733692220486,0.06681948141575456,-0.08788172248596005
84905,JAQUIRANA,40.0,41.0,38.0,0.07434441289460497,0.17230850888403348,0.7945196083784312,0.41092102070208725,0.5446413758361928,0.6002021884583864,0.8387096774193548,0.7430555555555556,0.7279693486590038,0.9012648104231323,0.8575957613642645,0.8199354180559909,0.7201751954838262,0.1892811677562991,-0.110740328760351,-0.08132939236714143
84913,VANINI,25.0,25.0,22.0,0.0,0.25542768491032836,0.9251064400415703,0.17697879261203542,0.24951080520885793,0.21991411652479753,0.7673611111111112,0.5381944444444444,0.4786324786324786,0.9838508330962569,0.9479434952611715,0.9733223630718293,0.9251064400415703,0.04293532391276211,-0.28872863247863256,-0.010528470024427583
84921,BOQUEIRÃO DO LEÃO,33.0,39.0,37.0,0.08269189854991323,0.24784992649475712,0.8439647107151247,0.4029127575110443,0.3099859602346504,0.21897660672049524,0.9212962962962963,0.7111111111111111,0.5912698412698412,0.9163313588922026,0.9498243316019589,0.976828157454765,0.7612728121652115,-0.18393615079054904,-0.3300264550264551,0.060496798562562404
84930,FAGUNDES VARELA,16.0,20.0,13.0,0.02977999983250844,0.11136250164723699,0.746122703773075,0.24949804872329562,0.32715557898292635,0.16680261850056533,0.6031746031746033,0.6262626262626263,0.41666666666666663,0.9627899028276116,0.9188930063693156,0.9822357192486193,0.7163427039405665,-0.08269543022273029,-0.18650793650793662,0.019445816421007733
84948,ÁGUA SANTA,26.0,23.0,24.0,0.03931035819196248,0.24089729954127212,0.707670242897042,0.14521614941782657,0.25569309976730814,0.24440460181207335,0.7712418300653595,0.46031746031746035,0.4481481481481481,0.9833340003743084,0.9666073780051547,0.961471062641206,0.6683598847050795,0.09918845239424678,-0.32309368191721144,-0.02186293773310244
84956,SILVEIRA MARTINS,25.0,25.0,22.0,0.0,0.023143306536277282,0.46235892051826577,0.18407777660889324,0.24819468612324447,0.3067653075169361,0.704861111111111,0.6875,0.7136752136752136,0.9694063009819205,0.9676277600963832,0.9443559929258316,0.46235892051826577,0.12268753090804285,0.008814102564102533,-0.025050308056088877
84964,IBIRAPUITÃ,34.0,44.0,36.0,0.046837965536124744,0.4405103067175375,0.9386665293321637,0.15904815905161973,0.3825666822476794,0.3686567763132709,0.7288888888888889,0.6936507936507936,0.7613168724279835,0.9863289593094472,0.9213574277920016,0.9357132092263771,0.8918285637960389,0.20960861726165114,0.032427983539094596,-0.050615750083070066
84972,IBARAMA,28.0,20.0,20.0,0.0256400930162633,0.0693625580911424,0.4099441721007661,0.2825966543658789,0.2774432961087603,0.24848626989309608,0.8801169590643275,0.8585858585858586,0.7777777777777777,0.9596266993605079,0.9564759546249129,0.9652193306021151,0.3843040790845028,-0.034110384472782806,-0.10233918128654984,0.005592631241607138
84980,PANTANO GRANDE,48.0,53.0,59.0,0.030872387237546813,0.2798164009374931,0.37508337653724894,0.5750265361356874,0.6242628376226558,0.433283730656413,0.7521367521367521,0.8535353535353535,0.8822222222222222,0.8475043142558814,0.8230421209668952,0.9103016401227272,0.3442109892997021,-0.14174280547927443,0.1300854700854701,0.06279732586684583
84999,IPÊ,22.0,30.0,30.0,0.04120902516307802,0.168956299361687,0.5955117266531638,0.19727987169899408,0.2815277814283401,0.29430399519075867,0.7094017094017093,0.5925925925925926,0.5767195767195767,0.9756072015365579,0.9613494100833303,0.9460316728152282,0.5543027014900858,0.09702412349176459,-0.13268213268213258,-0.029575528721329736
85006,TRINDADE DO SUL,25.0,36.0,35.0,0.03465585139721859,0.10255170649568059,0.40820087686398265,0.37527323944755175,0.3065226530851832,0.32555658507114127,0.8125,0.6213991769547326,0.5128205128205128,0.929932530130893,0.9548025477219585,0.953066846468763,0.37354502546676405,-0.049716654376410485,-0.2996794871794872,0.023134316337869998
85014,AGUDO,36.0,61.0,66.0,0.12323278295602386,0.2240239886477167,0.6114939300440886,0.33773123885036016,0.3374775503365104,0.30465465366753164,0.691358024691358,0.6837606837606838,0.7426900584795322,0.9464041171574757,0.9527091521922942,0.9608917889114238,0.48826114708806473,-0.03307658518282852,0.05133203378817419,0.01448767175394805
85022,ERNESTINA,30.0,23.0,23.0,0.01025492974318904,0.11243879544359035,0.5200140490318975,0.12642147651448088,0.1650543629927943,0.2051963531912444,0.6164021164021164,0.6547619047619048,0.4801587301587302,0.9920593207476944,0.9844179346045018,0.9765958253463441,0.5097591192887084,0.07877487667676353,-0.13624338624338622,-0.01546349540135028
85030,AJURICABA,34.0,37.0,34.0,0.10134787637533499,0.0748093813192539,0.2548280888359032,0.3775388251303955,0.6964561903432689,0.28174619589142313,0.8088888888888889,0.8055555555555556,0.7822222222222222,0.9355203184482279,0.7389849935742712,0.9607901996629143,0.1534802124605682,-0.09579262923897236,-0.026666666666666727,0.02526988121468643
85049,DEZESSEIS DE NOVEMBRO,22.0,19.0,23.0,0.03504775256286691,0.4893147797576065,0.8489516141101816,0.2677050890929804,0.18872548767848496,0.25199002336687304,0.8076923076923076,0.6555555555555556,0.5396825396825397,0.9555293821837181,0.9794666203789156,0.9666577031406984,0.8139038615473146,-0.01571506572610737,-0.26800976800976795,0.011128320956980353
85057,ALECRIM,24.0,22.0,20.0,0.0,0.3702236502975972,0.7697927514571596,0.3412670782796192,0.1961705171793644,0.08545069913158665,0.7555555555555556,0.5811965811965811,0.7272727272727272,0.9261866118492682,0.9801477851741611,0.9957825669097214,0.7697927514571596,-0.25581637914803257,-0.028282828282828465,0.06959595506045324
85065,BROCHIER,39.0,31.0,38.0,0.0,0.08475179830496403,0.6122566738731459,0.21088559997743195,0.20998642225188435,0.37742285534476516,0.512962962962963,0.7626262626262627,0.5938697318007662,0.9758314181300347,0.9790269974460981,0.9301527425056058,0.6122566738731459,0.16653725536733321,0.08090676883780323,-0.045678675624428955
85073,ALEGRETE,106.0,118.0,108.0,0.017886174772018874,0.1871728491775579,0.6166833773382906,0.6286038000927292,0.5419623315284894,0.41987261946230037,0.9172161172161172,0.7391585760517799,0.6580645161290323,0.8485671494180064,0.8928531297051668,0.935862068919811,0.5987972025662717,-0.20873118063042884,-0.2591516010870849,0.08729491950180468
85081,EREBANGO,30.0,39.0,41.0,0.02107458183592883,0.11934191458528684,0.6113927417725339,0.3442111779424537,0.3950055627320994,0.33078294523011764,0.6798941798941799,0.46481481481481485,0.6770833333333333,0.9410989698749187,0.9283803825584594,0.934073934019296,0.5903181599366051,-0.013428232712336063,-0.002810846560846625,-0.007025035855622752
85090,ALPESTRE,26.0,25.0,24.0,0.04914364636335071,0.0,0.6963711688759773,0.2859943809149863,0.2916795057919219,0.21141514637331849,0.7581699346405228,0.7291666666666667,0.45185185185185184,0.9595531607010409,0.9539105991382664,0.9771359095328839,0.6472275225126266,-0.07457923454166782,-0.306318082788671,0.017582748831842965
