codigo_municipio,municipio,candidatos_2016,candidatos_2020,candidatos_2024,fracao_publica_2016,fracao_publica_2020,fracao_publica_2024,gini_receita_2016,gini_receita_2020,gini_receita_2024,auc_receita_eleicao_2016,auc_receita_eleicao_2020,auc_receita_eleicao_2024,entropia_normalizada_2016,entropia_normalizada_2020,entropia_normalizada_2024,variacao_fracao_publica_2024_menos_2016,variacao_gini_receita_2024_menos_2016,variacao_auc_receita_eleicao_2024_menos_2016,variacao_entropia_normalizada_2024_menos_2016,chave_municipio,codigo_ibge,codigo_ibge_6,municipio_ibge,regiao_imediata,regiao_intermediaria,microrregiao_1990,mesorregiao_1990,populacao_2022,urbanizacao_2022,pib_per_capita_2023,idhm_2010,idhm_educacao_2010,idhm_longevidade_2010,idhm_renda_2010,renda_per_capita_2010,gini_renda_2010,log10_populacao_2022,log10_pib_per_capita_2023,faixa_populacao_2022,quartil_idhm_2010,quartil_pib_pc_2023,quartil_urbanizacao_2022,auc_receita_eleicao_residuo_tamanho_2016,auc_receita_eleicao_percentil_ajustado_2016,auc_receita_eleicao_residuo_tamanho_2020,auc_receita_eleicao_percentil_ajustado_2020,auc_receita_eleicao_residuo_tamanho_2024,auc_receita_eleicao_percentil_ajustado_2024,gini_receita_residuo_tamanho_2024,gini_receita_percentil_ajustado_2024,auc_top10_bruto_2016,auc_top10_ajustado_2016,auc_top10_bruto_2020,auc_top10_ajustado_2020,auc_top10_bruto_2024,auc_top10_ajustado_2024,acoplamento_alto_persistente_bruto,acoplamento_alto_persistente_ajustado,acoplamento_alto_persistente,contratendencia_auc,contratendencia_auc_forte,concentracao_alta_2024_ajustada,publicizacao_baixa_2024,escore_excecao,excecao_multidimensional,tipos_excecao
89273,TAQUARA,139.0,165.0,157.0,0.0550105512215787,0.4321625869323182,0.6745721106390232,0.6214907689872433,0.6175342746600496,0.4229775164502745,0.906989247311828,0.7713333333333333,0.8981220657276996,0.8610881255852053,0.8609751007590688,0.9371806710396822,0.6195615594174445,-0.1985132525369688,-0.0088671815841283,0.0760925454544768,TAQUARA,4321204,432120,Taquara,Taquara - Parobé - Igrejinha,Porto Alegre,Gramado-Canela,Metropolitana de Porto Alegre,53242,82.4,34105.46,0.727,0.579,0.88,0.754,871.42,0.5,4.72625436108982,4.532823911486707,50–100 mil,Q3,Q1: menor,Q4: maior,0.026288192101007968,0.5814889336016097,-0.08768794704689675,0.20724346076458752,0.0389437342737079,0.6217303822937625,-0.13092374174823618,0.08249496981891348,True,False,False,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
88412,SANTA MARIA,214.0,343.0,258.0,0.0236390764895828,0.4894221667291828,0.7091896244399783,0.6478210989761652,0.6625214505848753,0.635789527096843,0.9405378731803602,0.940550133096717,0.9269640345589713,0.8540933307574436,0.859838718140115,0.8698649555280503,0.6855505479503955,-0.0120315718793222,-0.0135738386213889,0.0157716247706066,SANTA MARIA,4316907,431690,Santa Maria,Santa Maria,Santa Maria,Santa Maria,Centro Ocidental Rio-grandense,271735,96.21,40230.46,0.784,0.715,0.848,0.795,1127.25,0.55,5.434145580000187,4.604554998375874,Mais de 100 mil,Q4: maior,Q2,Q4: maior,0.01915974274905674,0.545271629778672,0.016310920515753558,0.5311871227364185,0.0028797060706474698,0.5030181086519114,0.01872939121248396,0.5935613682092555,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
87122,MORRINHOS DO SUL,23.0,22.0,18.0,0.0259666905631781,0.0,0.5844108408210972,0.3219731395654615,0.1500344897935157,0.3704677721771738,0.7301587301587301,0.7948717948717949,0.7160493827160495,0.930775269930124,0.988194070917048,0.9015692558241872,0.558444150257919,0.0484946326117123,-0.0141093474426806,-0.0292060141059369,MORRINHOS DO SUL,4312443,431244,Morrinhos do Sul,Torres,Porto Alegre,Osório,Metropolitana de Porto Alegre,3071,47.83,33620.45,0.711,0.593,0.842,0.72,705.78,0.47,3.4872798164430687,4.5266035220483944,Até 10 mil,Q2,Q1: menor,Q2,0.04233465324283259,0.6317907444668008,0.19984507080632297,0.9698189134808853,0.1719751187634596,0.9396378269617707,0.10648164811128075,0.869215291750503,False,False,False,True,False,True,False,True,True,False,False,False,False,1,False,acoplamento persistente
86851,GUAÍBA,269.0,345.0,279.0,0.1722302003624884,0.5770426909121322,0.5979628885278501,0.6675312111986584,0.7852919907074989,0.5897176590223929,0.9634387351778656,0.9404591104734576,0.9481365065110012,0.8431760577782696,0.7799325437971244,0.8864576019822559,0.4257326881653616,-0.0778135521762655,-0.0153022286668643,0.0432815442039862,GUAIBA,4309308,430930,Guaíba,Porto Alegre,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre,92924,97.49,96872.55,0.73,0.639,0.833,0.732,758.83,0.47,4.968127896140444,4.9862007319279344,50–100 mil,Q3,Q4: maior,Q4: maior,0.021454843509655652,0.5533199195171026,0.015770379692244818,0.5291750503018109,0.014111494173868255,0.5432595573440644,-0.03715026832708801,0.386317907444668,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
88013,PORTO ALEGRE,575.0,852.0,511.0,0.1989756014287392,0.6134165761534839,0.7325399404896333,0.7793689775172017,0.6468260062838445,0.6510225454150826,0.9685631828488972,0.950044253812636,0.9489795918367346,0.797875324824748,0.8754921572286433,0.8740639269981385,0.5335643390608941,-0.128346432102119,-0.0195835910121624,0.0761886021733905,PORTO ALEGRE,4314902,431490,Porto Alegre,Porto Alegre,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre,1332845,99.82,78586.94,0.805,0.702,0.857,0.867,1758.27,0.6,6.1247796471192615,4.895350378645008,Mais de 100 mil,Q4: maior,Q4: maior,Q4: maior,-0.037008496041089245,0.32796780684104626,-0.03126502695215716,0.3762575452716298,-0.05925536843259416,0.2837022132796781,-0.05034230176820009,0.317907444668008,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
88153,RIO GRANDE,427.0,405.0,267.0,0.0218591374542582,0.3920710346314007,0.5954296151095548,0.840542085635076,0.6559326375329086,0.6590815615231045,0.9415904292751583,0.9325396825396826,0.9154084397986836,0.5865306746520739,0.8650428128662153,0.8356995515397033,0.5735704776552966,-0.1814605241119715,-0.0261819894764747,0.2491688768876294,RIO GRANDE,4315602,431560,Rio Grande,Pelotas,Pelotas,Litoral Lagunar,Sudeste Rio-grandense,191900,95.63,73510.58,0.744,0.637,0.861,0.752,859.2,0.51,5.283074974735472,4.866349849355585,Mais de 100 mil,Q3,Q4: maior,Q4: maior,-0.03996496479298217,0.30784708249496984,-0.004117440930415883,0.47283702213279677,-0.013041395055466087,0.43661971830985913,0.037718932620206536,0.6881287726358148,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
86797,GIRUÁ,49.0,68.0,58.0,0.0141564162378838,0.1837147196033174,0.4765094541501991,0.3050962473536536,0.4247259766882254,0.4473857999068851,0.916267942583732,0.9409888357256776,0.8897485493230174,0.9597686579630036,0.9281512421831408,0.918058740257822,0.4623530379123152,0.1422895525532315,-0.0265193932607147,-0.0417099177051817,GIRUA,4309001,430900,Giruá,Santo Ângelo,Ijuí,Santo Ângelo,Noroeste Rio-grandense,16013,80.88,63540.12,0.721,0.629,0.842,0.707,653.18,0.53,4.204472703648964,4.803048030687676,10–20 mil,Q3,Q4: maior,Q3,0.14315863879615198,0.9255533199195171,0.18351429451096102,0.9496981891348089,0.16966073988791008,0.9275653923541247,0.024431406075643702,0.6177062374245473,True,True,True,True,True,True,True,True,True,False,False,False,False,1,False,acoplamento persistente
85898,CANOAS,295.0,474.0,330.0,0.1000933989401746,0.4145558482770203,0.6404661794044156,0.7389836442763338,0.6745830890198086,0.6644976365349959,0.975842891901286,0.9616314516976768,0.9448297118200032,0.8112783615696068,0.8587894743092779,0.8575335058205223,0.540372780464241,-0.0744860077413378,-0.0310131800812829,0.0462551442509155,CANOAS,4304606,430460,Canoas,Porto Alegre,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre,347657,100.0,83895.04,0.75,0.636,0.864,0.768,952.13,0.51,5.5411509782370025,4.923736285449609,Mais de 100 mil,Q4: maior,Q4: maior,Q4: maior,0.025737181451526592,0.5754527162977867,0.014037066842120693,0.5231388329979879,-0.010257025989649615,0.44466800804828976,0.01672191234473941,0.5875251509054326,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
88536,SANTO ÂNGELO,117.0,161.0,140.0,0.0785348540778741,0.5075837808683511,0.7213468386577603,0.6477600573950646,0.5460504907459958,0.5022166818974274,0.9137254901960784,0.8073059360730594,0.8816,0.835338515427606,0.8934521196311834,0.9098476030704334,0.6428119845798861,-0.1455433754976371,-0.0321254901960783,0.0745090876428274,SANTO ANGELO,4317509,431750,Santo Ângelo,Santo Ângelo,Ijuí,Santo Ângelo,Noroeste Rio-grandense,76917,94.7,43941.11,0.772,0.696,0.863,0.765,936.27,0.54,4.886022337073806,4.642871023471749,50–100 mil,Q4: maior,Q2,Q4: maior,0.0499150253689693,0.6619718309859155,-0.04923301243240674,0.3118712273641851,0.03783327650452473,0.6177062374245473,-0.03689680672925599,0.3903420523138833,True,False,False,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
85111,ALVORADA,281.0,328.0,277.0,0.0594619632352726,0.5253051116029133,0.6926255444046487,0.6656420755528931,0.7181560487416727,0.6944037268299645,0.9688057040998218,0.9024021184036316,0.9355203619909502,0.8498886003763492,0.8234263250424877,0.8343128783006318,0.6331635811693761,0.0287616512770714,-0.0332853421088715,-0.0155757220757173,ALVORADA,4300604,430060,Alvorada,Porto Alegre,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre,187315,100.0,22048.07,0.699,0.564,0.874,0.694,600.48,0.43,5.272572556640521,4.343370579063048,Mais de 100 mil,Q2,Q1: menor,Q4: maior,0.022966330282587433,0.5573440643863179,-0.01834339684172115,0.4164989939637827,0.0024059988391338383,0.49899396378269617,0.06843585273890884,0.7927565392354124,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
87858,PASSO FUNDO,266.0,333.0,217.0,0.0441145471865193,0.4661370093520993,0.6908518454821547,0.6884306977276335,0.5768122496733874,0.6016752670772554,0.9438289601554908,0.8751526251526252,0.9084062196307092,0.841778903148978,0.8952308659533991,0.882678202663524,0.6467372982956354,-0.0867554306503781,-0.0354227405247813,0.040899299514546,PASSO FUNDO,4314100,431410,Passo Fundo,Passo Fundo,Passo Fundo,Passo Fundo,Noroeste Rio-grandense,206215,98.29,68227.53,0.776,0.699,0.849,0.787,1068.95,0.52,5.314320252510518,4.833959649064058,Mais de 100 mil,Q4: maior,Q4: maior,Q4: maior,0.002839768824222433,0.45271629778672035,-0.04678209536516742,0.323943661971831,0.006583549422721435,0.5150905432595574,0.006445048967253619,0.5513078470824949,True,False,False,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
87912,PELOTAS,337.0,425.0,252.0,0.0604371466007959,0.4977761722072102,0.644493545224914,0.7660121582967518,0.6759513010938447,0.603510000500473,0.9567510548523206,0.9222065063649222,0.9204287775716348,0.7918862825796048,0.8587164069647827,0.885926616722032,0.5840563986241181,-0.1625021577962788,-0.0363222772806859,0.0940403341424271,PELOTAS,4314407,431440,Pelotas,Pelotas,Pelotas,Pelotas,Sudeste Rio-grandense,325685,93.85,38322.06,0.739,0.632,0.844,0.758,894.35,0.54,5.512797756823262,4.583448846507406,Mais de 100 mil,Q3,Q2,Q4: maior,-0.004878522452562595,0.42052313883299797,-0.01788659211708077,0.41851106639839036,-0.0006510929205316707,0.482897384305835,-0.010593233384105782,0.4708249496981891,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
85995,CAXIAS DO SUL,393.0,488.0,341.0,0.0160698824072308,0.394911672034313,0.7339152739786409,0.6452996243107245,0.6742722228519653,0.6418999545305826,0.9417156286721504,0.9170172978027116,0.9006015859994532,0.8687550990142859,0.8602300324005773,0.8648603135380136,0.71784539157141,-0.0033996697801419,-0.0411140426726972,-0.0038947854762723,CAXIAS DO SUL,4305108,430510,Caxias do Sul,Caxias do Sul,Caxias do Sul,Caxias do Sul,Nordeste Rio-grandense,463501,96.47,81683.97,0.782,0.686,0.86,0.812,1253.93,0.48,5.666050675468679,4.9121368371492995,Mais de 100 mil,Q4: maior,Q4: maior,Q4: maior,-0.03293766030887324,0.3460764587525151,-0.03251315362868323,0.3682092555331992,-0.058556503351208544,0.2857142857142857,-0.009937965393991721,0.4768611670020121,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
86835,GRAVATAÍ,352.0,419.0,328.0,0.0446823088921355,0.5564185263894704,0.6755791305245795,0.7244759067881548,0.7000463386796116,0.6208953246605708,0.909941015681197,0.9111031347212252,0.8675352877307274,0.821418688695999,0.8439526040523584,0.8791896778071752,0.630896821632444,-0.1035805821275839,-0.0424057279504695,0.0577709891111761,GRAVATAI,4309209,430920,Gravataí,Porto Alegre,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre,265074,96.07,58646.11,0.736,0.636,0.862,0.727,737.29,0.44,5.42336713169278,4.768239210627804,Mais de 100 mil,Q3,Q3,Q4: maior,-0.05540905780630545,0.2575452716297787,-0.02798424035612157,0.39235412474849096,-0.08679512101062692,0.21730382293762576,-0.026126519125899694,0.4245472837022133,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
88633,SÃO BORJA,122.0,129.0,102.0,0.212569775558406,0.4236888683617323,0.6161626694891901,0.6204015973927441,0.5826502546292278,0.4941737729447404,0.9370716510903426,0.9619883040935672,0.8896551724137932,0.852591609864247,0.8669322681309498,0.9087738890861714,0.403592893930784,-0.1262278244480037,-0.0474164786765494,0.0561822792219244,SAO BORJA,4318002,431800,São Borja,São Borja,Uruguaiana,Campanha Ocidental,Sudoeste Rio-grandense,59676,89.91,42737.25,0.736,0.643,0.86,0.72,705.72,0.55,4.77579970527985,4.630806573320579,50–100 mil,Q3,Q2,Q4: maior,0.06912537847760392,0.7303822937625755,0.1287214076887927,0.8792756539235412,0.08930044680362781,0.7907444668008048,-0.0036784884465944634,0.5030181086519114,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
86517,ESTEIO,122.0,168.0,136.0,0.0514984643929815,0.3631362122586973,0.6482756046409998,0.5935720118566012,0.5949116627663629,0.5558740217558948,0.9625,0.9582278481012658,0.8976190476190476,0.8631932511596011,0.8759080556673139,0.8902241848848115,0.5967771402480182,-0.0376979901007064,-0.0648809523809523,0.0270309337252103,ESTEIO,4307708,430770,Esteio,Porto Alegre,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre,76137,99.95,52518.32,0.754,0.662,0.843,0.769,955.86,0.48,4.881595760459516,4.720310825064067,50–100 mil,Q4: maior,Q3,Q4: maior,0.09455372738726131,0.8350100603621731,0.09739610395845433,0.8008048289738431,0.05777596814601682,0.6861167002012073,0.020513333502814035,0.5995975855130785,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
87718,NOVO HAMBURGO,197.0,235.0,151.0,0.0404672917073401,0.3550071588386982,0.6027560992241527,0.6417678167805132,0.6886547644668195,0.6505074728834854,0.9500390320062452,0.9709114414996768,0.8832116788321167,0.8550955485428208,0.831141793139656,0.8478112813621255,0.5622888075168126,0.0087396561029722,-0.0668273531741283,-0.0072842671806953,NOVO HAMBURGO,4313409,431340,Novo Hamburgo,Novo Hamburgo - São Leopoldo,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre,227646,97.57,52434.84,0.747,0.629,0.852,0.778,1011.62,0.53,5.357260023661605,4.719619947133474,Mais de 100 mil,Q4: maior,Q3,Q4: maior,0.03628183501682103,0.607645875251509,0.07823899044757321,0.7484909456740443,0.029255312760377628,0.5915492957746479,0.10162532050115913,0.8651911468812877,True,False,True,False,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
86240,ELDORADO DO SUL,118.0,79.0,85.0,0.0437142104460435,0.1872235378199539,0.5443238759183708,0.7183027421326011,0.6804539123185036,0.5905289594103031,0.930682976554536,0.9761904761904764,0.861842105263158,0.7842641094656932,0.7903067372687699,0.8548850827780424,0.5006096654723273,-0.127773782722298,-0.0688408712913781,0.0706209733123491,ELDORADO DO SUL,4306767,430676,Eldorado do Sul,Porto Alegre,Porto Alegre,Porto Alegre,Metropolitana de Porto Alegre,39559,93.94,66318.44,0.717,0.609,0.844,0.717,692.0,0.46,4.5972453046650035,4.8216343018100085,20–50 mil,Q2,Q4: maior,Q4: maior,0.06602965432062102,0.7263581488933601,0.19984688886476998,0.971830985915493,0.08701881655737209,0.7806841046277666,0.11668742424689876,0.8893360160965795,True,False,True,True,True,False,True,False,True,False,False,False,False,1,False,acoplamento persistente
